name,address,location,cuisines,rating,votes,average_cost_two,budget_tier,online_order,book_table,rest_type,is_pure_vegetarian,serves_alcohol,is_family_friendly,is_spicy_food,is_quick_service,reviews_sample
Jalsa,"942, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Banashankari,"North Indian, Mughlai, Chinese",4.1,775,800.0,medium,Yes,Yes,Casual Dining,False,False,True,True,False,"[('Rated 4.0', 'RATED\n  A beautiful place to dine in.The interiors take you back to the Mughal era. The lightings are just perfect.We went there on the occasion of Christmas and so they had only limited items available. But the taste and service was not compromised at all.The only complaint is that the breads could have been better.Would surely like to come here again.'), ('Rated 4.0', 'RATED\n  I was here for dinner with my family on a weekday. The restaurant was completely empty. Ambience is good with some good old hindi music. Seating arrangement are good too. We ordered masala papad, pann"
Spice Elephant,"2nd Floor, 80 Feet Road, Near Big Bazaar, 6th Block, Kathriguppe, 3rd Stage, Banashankari, Bangalore",Banashankari,"Chinese, North Indian, Thai",4.1,787,800.0,medium,Yes,No,Casual Dining,False,False,True,True,False,"[('Rated 4.0', 'RATED\n  Had been here for dinner with family. Turned out to be a good choose suitable for all ages of people. Can try this place. We liked the most was their starters. Service is good. Prices are affordable. Will recommend this restaurant for early dinner. The place is little noisy.'), ('Rated 3.0', 'RATED\n  The ambience is really nice, staff is courteous. The price is pretty high for the quantity, but overall the experience was fine. The quality of food is nice but nothing extraordinary. They also have buffet(only veg)'), ('Rated 3.0', 'RATED\n  I felt good is little expensi"
San Churro Cafe,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Mexican, Italian",3.8,918,800.0,medium,Yes,No,"Cafe, Casual Dining",False,False,True,True,True,"[('Rated 3.0', ""RATED\n  Ambience is not that good enough and it's not a pocket friendly cafe and the quantity is not that good and desserts are too good enough ??..""), ('Rated 3.0', ""RATED\n \nWent there for a quick bite with friends.\nThe ambience had more of corporate feel. I would say it was unique.\nTried nachos, pasta churros and lasagne.\n\nNachos were pathetic.( Seriously don't order)\nPasta was okayish.\nLasagne was good.\nNutella churros were the best.\nOverall an okayish experience!\nPeace ??""), ('Rated 4.0', ""RATED\n  First of all, a big thanks to the staff of this Cafe. Very polit"
Addhuri Udupi Bhojana,"1st Floor, Annakuteera, 3rd Stage, Banashankari, Bangalore",Banashankari,"South Indian, North Indian",3.7,88,300.0,low,No,No,Quick Bites,False,True,True,False,True,"[('Rated 4.0', ""RATED\n  Great food and proper Karnataka style full meals. Been there twice and was fully satisfied.. Will give 5 stars if it's well managed............""), ('Rated 2.0', 'RATED\n  Reached the place at 3pm on Saturday. Half of the items on the menu were over. What was annoying was is the food was cold. The taste was also very average. Only dosa and holige were good. There were very few people in the restaurant and the service was still very slow. The waiters were all standing in one corner and talking. Had to call them repeatedly.'), ('Rated 4.0', 'RATED\n  Had been here, good f"
Grand Village,"10, 3rd Floor, Lakshmi Associates, Gandhi Bazaar Main Road, Above Reliance Trends, Basavanagudi, Bangalore",Basavanagudi,"North Indian, Rajasthani",3.8,166,600.0,medium,No,No,Casual Dining,False,False,True,False,False,"[('Rated 4.0', 'RATED\n  Very good restaurant in neighbourhood. Buffet system is properly arranged. Variety of dishes along with garba dance and puppet show. Good spread of desserts. Live paratha / Kulcha making'), ('Rated 4.0', 'RATED\n  Great service, overwhelming experience.\n\nOne of its kind experience. Grand village offers you some very desi food options.\n\nJaljeera, buttermilk, chat papdi, bhajiya, dosa, pav bhaji, noodles, and so many curries kulcha, roti, and garama garam Jalebies, gulab jamuns.\n\nBeautiful ambience of village. People serving with smiles and with full heart !!\n\nSo"
Timepass Dinner,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Basavanagudi,North Indian,3.8,286,600.0,medium,Yes,No,Casual Dining,False,False,True,False,False,"[('Rated 3.0', 'RATED\n  Food 3/5\nAmbience 3/5\nService 3/5\n\nHad been here for family lunch. This place serves buffets too. We ordered soups, babycorn starters, butter naan, kadai panner, veg kohlapuri, pease pulav. Food was good. But the service is too slow. They will make you wait for 20 mins to get the order. This place is apt for family hangout.\n\nCheers.')]"
Rosewood International Hotel - Bar & Restaurant,"19/1, New Timberyard Layout, Beside Satellite Bus Stop, Mysore Road, Bangalore",Mysore Road,"North Indian, South Indian, Andhra, Chinese",3.6,8,800.0,medium,No,No,Casual Dining,False,True,True,False,True,"[('Rated 5.0', 'RATED\n  Awesome food ??Great serviceFriendly staffsGood quality of food\n# Complimentary Breakfast ??\n# Honey Lemon Chicken and Chicken Manchow Soup\nPerfect place too stay alone or with family ????Will stay whenever I will go Bangalore ????'), ('Rated 5.0', 'RATED\n  Newly Launched Bar & Restaurant. Good Food quality. Like to visit again. Also like to suggest to others.\nNice Ambiance and setting. Also outdoor dining is available. Did like the Chicken grill.')]"
Onesta,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Banashankari,"Pizza, Cafe, Italian",4.6,2556,600.0,medium,Yes,Yes,"Casual Dining, Cafe",False,False,True,True,True,"[('Rated 5.0', 'RATED\n  I personally really liked this place ! The ambience with the rooftop , plants , the music is great !\nThe starters are good and so were the pizzas.\nThe prices are pretty affordable! Must visit place !'), ('Rated 5.0', 'RATED\n  Very good pizza... took unlimited pizza and could eat 3 pizzas easily per person... even service is very good... staff is very courteous and polite'), ('Rated 4.0', 'RATED\n  Onward has been a favourite place for a Pizza for quite some time. Their Happy Hour Pizzas and Pizza Combos are to be relished. The pizzas are fluffy and have just the rig"
Penthouse Cafe,"1, 30th Main Road, 3rd Stage, Banashankari, Bangalore",Banashankari,"Cafe, Italian, Continental",4.0,324,700.0,medium,Yes,No,Cafe,False,True,False,False,True,"[('Rated 3.0', ""RATED\n  I had been to this place with one of my friends, it's a very small place but decent. And nice place to hangout.\nFood-3.5/5\nAmbience-4/5\nValue for money 3.5/5""), ('Rated 4.0', ""RATED\n  Small, cosy, covered rooftop place provides just the right menu for quick bites as well as main course.\n\nThe view is pretty in the evenings due to glass walls. The ambience is good for a small gathering and hang out. Not exactly the kind of place for fine dining.\n\nIt doesn't seem to be like a popular hang out. It is hard to even know if a cafe is existing there.\n\nHaving Zomato g"
Smacznego,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,504,550.0,medium,Yes,No,Cafe,False,False,True,True,True,"[('Rated 4.0', ""RATED\n  Easy to locate\nVFM 3.5/5\nTaste 5/5\nYummy cheesyyy fries ?\nDelicious pasta\nThey're a must try ??\nLoaded nachos and green fries are average!!""), ('Rated 4.0', 'RATED\n  A tuck shop in Banashankari, slightly off the crowded Banashankari bda complex. The menu is interesting....and I had no complaints on the food as well. While there is no wow factor in the dishes or the ingredients.... for sure no disappointment when tasted too. Since it is in the concept of fast food, they served in foil box.... unfortunately along with plastic spoon. May be they need to immediately"
